sku,manufacturer_brand,manufacturer_part_number
-999991015,,91266430
-999991021,,68402200
-999991052,,PWR106A1
-999991053,,SL0560A1
-999991055,,PWR106M1 / 115687
-999991056,,DL1060M1
-999991057,,PWR090D2
-999991058,,PW0561M1
-999991059,,TLU20503-0 / 118121
-999991064,,LIN100M1
-999991065,,LIN720D3
-999991079,,367549 TRA-MULTI-DIM
-999991080,,367549
-999991082,,367285 / TRA-TCI-350
-999991083,,TCI-500mA-6W 122813
-999991085,,AS24004X3
-999991090,,TRA-TCI-350mA-8W
-999991093,,23294-104-00
-999991103,,59.nwr.24.028
-999991251,LUX-IT GmbH,357088 860 A14500
-999991252,LUX-IT GmbH,357089 / A310500IP67
1100007200,Inventronics Netherlands B.V.,4062172199285 | IT FIT 7/220-240/700 CS
1100010200,Tridonic Schweiz AG,28000704 + 2x 28001699
1100015200,Inventronics Netherlands B.V.,6937186133946 | OT FIT 15/220-240/350 CS S MINI
1100017200,Tridonic Schweiz AG,28000705 + 2x 28001699
1100019201,Tridonic Schweiz AG,28004120
1100020200,Inventronics Netherlands B.V.,4052899435612
1100021200,EAGLERISE,FLS-21-500 LD
1100025200,Inventronics Netherlands B.V.,4052899919419
1100025201,Tridonic Schweiz AG,87500819
1100025202,Tridonic Schweiz AG,28000706 + 2x 28001699
1100025203,DOTLUX GmbH,5136
1100025500,TCI Telecomunicazioni Italia S.r.l.,127330
1100028200,DOTLUX GmbH,5333
1100035200,Inventronics Netherlands B.V.,4052899919402
1100035201,Tridonic Schweiz AG,28003376
1100035202,EAGLERISE,FMS-35-700 LD
1100038200,LUX-IT GmbH,142024
1100040200,Tridonic Schweiz AG,87500820
1100040201,Tridonic Schweiz AG,87500792
1100040202,Tridonic Schweiz AG,87500907
1100040203,Tridonic Schweiz AG,87500791
1100050200,Inventronics Netherlands B.V.,4052899917583
1100050201,Inventronics Netherlands B.V.,4052899032804
1100050203,DOTLUX GmbH,5043
1100055200,EAGLERISE,FMS-55-1050 LD
1100060200,Tridonic Schweiz AG,28005035
1100065200,Tridonic Schweiz AG,87500995
1100075200,Inventronics Netherlands B.V.,4052899590984 | OT FIT 75/220-240/700 D LT2 UF L
1100080200,Inventronics Netherlands B.V.,4052899032781
1100080201,Fabotech Handels AG,122214I
1100090200,Inventronics Netherlands B.V.,4052899188556
1100240600,MEAN WELL,XLG-240-L-A
1101008200,Tridonic Schweiz AG,87500799
1103003200,LUX-IT GmbH,A13350VL 12/24
1103003201,LUX-IT GmbH,367127 / A13350VL
1103003202,Brumberg Leuchten GmbH & Co. KG,17665000
1103003600,LUX-IT GmbH,373547 5.0635.65.03
1103003601,Unbekannt,SLP03SS
1103004600,unex lighting AG,27440-350-05
1103006200,LUX-IT GmbH,357077 / A16350QL
1103006201,,357256
1103007200,Brumberg Leuchten GmbH & Co. KG,17662000
1103008500,LUX-IT GmbH,TCI-141056
1103011600,L&L Luce&Light Srl,A16350IP67
1103012200,,357069
1103012201,,357104
1103014200,LUX-IT GmbH,372276 TRA-TCI-350mA
1103015200,Brumberg Leuchten GmbH & Co. KG,17613000
1103015201,Max Hauri AG,112051 / 186229
1103015202,L&L Luce&Light Srl,A19350QL
1103017200,Fabotech Handels AG,122246
1103025200,Elektronik Tech MHL,EBP025C0350CS
1105006200,L&L Luce&Light Srl,A13500TC
1105006201,LUX-IT GmbH,379179 / 122602TCI
1105006202,Wever & Ducré Schweiz GmbH,90214201
1105010201,Nauled,ALPF1050
1105012200,L&L Luce&Light Srl,A15500QL
1105012201,VB Lighting AG,VT4308 | T4.308
1105012600,L&L Luce&Light Srl,A14500IP67
1105014200,Fabotech Handels AG,141112
1105020201,LUX-IT GmbH,355822 / A310500QL
1105020600,L&L Luce&Light Srl,A310500IP67
1105022200,Brumberg Leuchten GmbH & Co. KG,17823010
1107003600,EAGLERISE,SH-3-700 IP65 SB
1107007600,Wever & Ducré Schweiz GmbH,90215301
1107012200,L&L Luce&Light Srl,A13700QL
1107012600,L&L Luce&Light Srl,A13700IP67
1107015200,Brumberg Leuchten GmbH & Co. KG,17704000
1107018200,Helestra Leuchten GmbH,Treiber für 65/1349.06/5105
1107021201,L&L Luce&Light Srl,A39700IP67
1107025200,Inventronics Netherlands B.V.,4052899917545
1107030600,Tridonic Schweiz AG,28000794
1107031200,Brumberg Leuchten GmbH & Co. KG,17723000
1107035600,MEAN WELL,LPC-35-700
1107038200,Tridonic Schweiz AG,87500781
1109040200,Tridonic Schweiz AG,87500348
1109060600,MEAN WELL,LPC-60-1750
1110025200,MEAN WELL,LCM-25
1110040200,MEAN WELL,LCM-40
1110040201,Barthelme Schweiz GmbH,66001141
1110040202,MEAN WELL,XLC-40-H-BSN
1110060200,MEAN WELL,LCM-60
1113017200,Brumberg Leuchten GmbH & Co. KG,17607000
1113018200,Brumberg Leuchten GmbH & Co. KG,17657000
1120009200,EAGLERISE,SRP-2305-9-C700
1120010200,KGP Electronics GmbH,CC10W150-500 DALI NFC
1120010201,Perdix GmbH,DDT-8-10W-180-250mA-20-40V
1120012200,EAGLERISE,FLS-12-350 DALI2 LDC
1120015200,EAGLERISE,SRPY-2305N-15CC200-700
1120015201,Tridonic Schweiz AG,87501146
1120018200,Inventronics Netherlands B.V.,4052899548190
1120020200,Tridonic Schweiz AG,87500921
1120020201,KGP Electronics GmbH,CC20W200-550CG DALI
1120020202,KGP Electronics GmbH,CC20W100-800 DALI
1120025200,MEAN WELL,LCM-25DA2
1120025201,Tridonic Schweiz AG,87500897
1120025202,LUXED Beleuchtungen GmbH,D-CC25-D-900-IN
1120025500,TCI Telecomunicazioni Italia S.r.l.,127462
1120026200,EAGLERISE,FLS-26-700 DALI2 LD1C
1120028200,Tridonic Schweiz AG,28004042
1120030200,marbach elektronik GmbH,EC0360A6
1120030201,marbach elektronik GmbH,SL0360S3
1120030202,EAGLERISE,FLS-30-700-DALI2-LD-PRO-C
1120030203,Tridonic Schweiz AG,87501147
1120030600,Fabotech Handels AG,152012
1120030601,LUX-IT GmbH,TCI-152010
1120035200,Inventronics Netherlands B.V.,4052899488168 | OTi DALI 35/220-240/1A0 LT2
1120035201,Tridonic Schweiz AG,28003201
1120035202,Tridonic Schweiz AG,28000654
1120035203,Tridonic Schweiz AG,28002941
1120035204,EAGLERISE,FMS-35-700 DALI2 LD
1120038200,Fabotech Handels AG,127490
1120038201,TCI Telecomunicazioni Italia S.r.l.,127492
1120038202,Tridonic Schweiz AG,28004043
1120040200,MEAN WELL,LCM-40DA2
1120040201,Inventron AG,211-A1F-027
1120040202,Tridonic Schweiz AG,87500900
1120040203,Tridonic Schweiz AG,87500901
1120040204,Inventron AG,127873
1120040205,Tridonic Schweiz AG,87500899
